case_id,retriever_name,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_10,precision_at_1,precision_at_3,precision_at_5,context_noise_ratio,answer_accuracy,answer_f1
v0-hn-entity-001,bm25,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,1.0000,0.2500
v0-hn-entity-001,hybrid_rerank,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,1.0000,0.2500
v0-hn-temporal-002,bm25,0.0000,1.0000,1.0000,1.0000,0.5000,0.6309,0.0000,0.3333,0.3333,0.6667,0.0000,0.0000
v0-hn-temporal-002,hybrid_rerank,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,1.0000,0.2000
v0-hn-paraphrase-003,bm25,0.0000,1.0000,1.0000,1.0000,0.5000,0.6309,0.0000,0.3333,0.3333,0.6667,1.0000,0.2222
v0-hn-paraphrase-003,hybrid_rerank,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,1.0000,0.2500
v0-hn-multihop-004,bm25,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.3333,1.0000,0.2500
v0-hn-multihop-004,hybrid_rerank,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.3333,1.0000,0.2500
v0-hn-stale-005,bm25,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,1.0000,0.2000
v0-hn-stale-005,hybrid_rerank,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,1.0000,0.2000
v0-hn-compress-006,bm25,0.0000,1.0000,1.0000,1.0000,0.5000,0.6309,0.0000,0.3333,0.3333,0.6667,0.0000,0.0000
v0-hn-compress-006,hybrid_rerank,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,1.0000,0.2500
